player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,PLAYER_ID,PLAYER_NAME,VORP
Blake Griffin,2009,1.0,Power Forward,201933.0,2010-11,-1.8,82.0,37.9,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,8.5,16.8,0.1,0.3,5.4,8.5,3.3,8.8,2.7,3.1,LAC,ok,201933.0,Blake Griffin,4.7
James Harden,2009,2.0,Shooting Guard,201935.0,2011-12,5.9,62.0,31.4,16.8,4.1,3.7,1.0,0.2,0.491,0.39,0.846,5.0,10.1,1.8,4.7,5.0,6.0,0.5,3.6,2.2,2.4,OKC,ok,201935.0,James Harden,3.1
Jordan Hill,2009,4.0,Power Forward,201941.0,2010-11,-2.1,72.0,15.6,5.6,4.3,0.4,0.2,0.7,0.491,0.0,0.706,2.4,4.9,0.0,0.0,0.8,1.2,1.8,2.5,0.9,2.2,HOU,ok,201941.0,Jordan Hill,-0.2
Hasheem Thabeet,2009,6.0,Center,201934.0,2009-10,-1.1,68.0,13.0,3.1,3.6,0.2,0.2,1.3,0.588,0.0,0.581,1.1,1.9,0.0,0.0,0.8,1.4,1.3,2.3,0.6,2.4,MEM,ok,201934.0,Hasheem Thabeet,0.1
Stephen Curry,2009,7.0,Point Guard/Shooting Guard,201939.0,2009-10,-2.3,80.0,36.2,17.5,4.5,5.9,1.9,0.2,0.462,0.437,0.885,6.6,14.3,2.1,4.8,2.2,2.5,0.6,3.9,3.0,3.2,GSW,ok,201939.0,Stephen Curry,6.7
DeMar DeRozan,2009,8.0,Shooting Guard,201942.0,2010-11,-5.0,82.0,34.8,17.2,3.8,1.8,1.0,0.4,0.467,0.096,0.813,6.6,14.1,0.1,0.6,4.0,4.9,0.9,2.9,1.8,2.6,TOR,ok,201942.0,DeMar DeRozan,2.8
Jonny Flynn,2009,10.0,Point Guard,201938.0,2009-10,-7.7,81.0,28.9,13.5,2.4,4.4,1.0,0.0,0.417,0.358,0.826,4.9,11.8,1.0,2.7,2.8,3.3,0.3,2.1,2.9,1.2,MIN,ok,201938.0,Jonny Flynn,-1.1
Earl Clark,2009,11.0,Small Forward,201947.0,2011-12,-3.8,45.0,12.4,2.7,2.8,0.4,0.3,0.7,0.367,0.0,0.724,1.1,3.1,0.0,0.0,0.5,0.6,0.8,2.0,0.6,1.6,ORL,ok,201947.0,Earl Clark,-0.3
James Johnson,2009,12.0,Small Forward,201949.0,2011-12,-2.4,62.0,25.2,9.1,4.7,2.0,1.1,1.4,0.45,0.317,0.704,3.8,8.4,0.3,1.0,1.3,1.9,1.2,3.5,1.6,2.9,TOR,ok,201949.0,James Johnson,1.6
Jeff Teague,2009,14.0,Point Guard,201952.0,2011-12,3.5,66.0,33.1,12.6,2.4,4.9,1.6,0.6,0.476,0.342,0.757,4.8,10.2,0.8,2.3,2.1,2.8,0.3,2.1,2.0,2.2,ATL,ok,201952.0,Jeff Teague,1.8
