player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,VORP,PLAYER_ID,PLAYER_NAME
Blake Griffin,2009,1,Power Forward,201933.0,2013-14,7.1,80.0,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,9.0,17.0,0.2,0.6,6.0,8.4,2.4,7.1,2.8,3.3,LAC,ok,4.7,201933.0,Blake Griffin
James Harden,2009,2,Shooting Guard,201935.0,2011-12,5.9,62.0,31.4,16.8,4.1,3.7,1.0,0.2,0.491,0.39,0.846,5.0,10.1,1.8,4.7,5.0,6.0,0.5,3.6,2.2,2.4,OKC,ok,3.1,201935.0,James Harden
Ricky Rubio,2009,3,Point Guard,201937.0,2013-14,4.6,82.0,32.2,9.5,4.2,8.6,2.3,0.1,0.381,0.331,0.802,3.1,8.2,0.5,1.6,2.8,3.5,0.7,3.4,2.7,2.7,MIN,ok,2.1,201937.0,Ricky Rubio
Jordan Hill,2009,4,Power Forward,201941.0,2009-10,-0.4,47.0,13.3,5.2,3.7,0.4,0.3,0.4,0.493,0.0,0.676,2.1,4.3,0.0,0.0,1.0,1.4,1.6,2.1,0.6,2.0,HOU,ok,-0.2,201941.0,Jordan Hill
Brandon Jennings,2009,5,Point Guard,201943.0,2009-10,1.4,82.0,32.6,15.5,3.4,5.7,1.3,0.2,0.371,0.374,0.817,5.5,14.8,1.8,4.7,2.7,3.3,0.6,2.8,2.4,2.3,MIL,ok,1.8,201943.0,Brandon Jennings
Hasheem Thabeet,2009,6,Center,201934.0,2012-13,2.1,66.0,11.7,2.4,3.0,0.2,0.5,0.9,0.604,0.0,0.604,1.0,1.6,0.0,0.0,0.5,0.8,1.0,1.9,0.6,2.2,OKC,ok,0.1,201934.0,Hasheem Thabeet
Stephen Curry,2009,7,Point Guard/Shooting Guard,201939.0,2013-14,7.4,78.0,36.5,24.0,4.3,8.5,1.6,0.2,0.471,0.424,0.885,8.4,17.7,3.3,7.9,3.9,4.5,0.6,3.7,3.8,2.5,GSW,ok,6.7,201939.0,Stephen Curry
DeMar DeRozan,2009,8,Shooting Guard,201942.0,2013-14,2.3,79.0,38.2,22.7,4.3,4.0,1.1,0.4,0.429,0.305,0.824,7.6,17.8,0.8,2.7,6.6,8.0,0.6,3.7,2.2,2.5,TOR,ok,2.8,201942.0,DeMar DeRozan
BJ Mullens,2009,9,Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Jonny Flynn,2009,10,Point Guard,201938.0,2010-11,-3.4,53.0,18.5,5.3,1.5,3.4,0.6,0.1,0.365,0.31,0.762,2.0,5.6,0.6,1.9,0.6,0.8,0.2,1.2,2.1,1.1,MIN,ok,-1.1,201938.0,Jonny Flynn
Earl Clark,2009,11,Small Forward,201947.0,2009-10,-0.7,51.0,7.5,2.7,1.2,0.4,0.1,0.3,0.371,0.4,0.722,1.1,3.0,0.0,0.1,0.5,0.7,0.4,0.9,0.5,0.5,PHX,ok,-0.3,201947.0,Earl Clark
James Johnson,2009,12,Small Forward,201949.0,2013-14,1.8,52.0,18.4,7.4,3.2,2.1,0.8,1.1,0.464,0.253,0.844,2.8,5.9,0.4,1.7,1.5,1.7,1.2,2.0,1.3,2.0,MEM,ok,1.6,201949.0,James Johnson
Gerald Henderson,2009,13,Shooting Guard/Small Forward,76993.0,,,,,,,,,,,,,,,,,,,,,,,,no_data_in_2009-10_to_2013-14,,,
Jeff Teague,2009,14,Point Guard,201952.0,2011-12,3.5,66.0,33.1,12.6,2.4,4.9,1.6,0.6,0.476,0.342,0.757,4.8,10.2,0.8,2.3,2.1,2.8,0.3,2.1,2.0,2.2,ATL,ok,1.8,201952.0,Jeff Teague
Tyreke Evans,2009,15,Shooting Guard,201936.0,2013-14,-2.8,72.0,28.2,14.5,4.7,5.0,1.2,0.3,0.436,0.221,0.771,5.4,12.5,0.3,1.3,3.3,4.3,1.1,3.7,2.4,2.2,NOP,ok,1.3,201936.0,Tyreke Evans
Wayne Ellington,2009,16,Shooting Guard,201961.0,2012-13,0.2,78.0,21.3,7.9,2.1,1.3,0.6,0.0,0.427,0.392,0.907,2.9,6.8,1.2,3.1,0.9,1.0,0.3,1.8,0.7,1.0,CLE,ok,0.6,201961.0,Wayne Ellington
Eric Maynor,2009,17,Point Guard,201953.0,2010-11,2.4,82.0,14.6,4.2,1.5,2.9,0.4,0.1,0.402,0.385,0.729,1.6,4.1,0.5,1.2,0.5,0.7,0.3,1.2,0.9,1.2,OKC,ok,0.1,201953.0,Eric Maynor
Chase Budinger,2009,18,Shooting Guard/Small Forward,201978.0,2010-11,1.8,78.0,22.3,9.8,3.6,1.6,0.5,0.2,0.425,0.325,0.855,3.6,8.4,1.1,3.5,1.5,1.8,0.7,2.9,0.9,1.5,HOU,ok,0.8,201978.0,Chase Budinger
Derrick Brown,2009,19,Small Forward,201974.0,2009-10,-0.2,57.0,9.4,3.3,1.4,0.3,0.4,0.2,0.463,0.286,0.667,1.2,2.6,0.0,0.1,0.8,1.3,0.5,0.8,0.3,0.9,CHA,ok,0.2,201974.0,Derrick Brown
DeJuan Blair,2009,20,Power Forward,201971.0,2010-11,1.7,81.0,21.4,8.3,7.0,1.0,1.2,0.5,0.501,0.0,0.657,3.6,7.2,0.0,0.0,1.1,1.7,2.7,4.3,1.4,2.6,SAS,ok,0.7,201971.0,DeJuan Blair
Tyler Hansbrough,2009,21,Power Forward,201946.0,2012-13,-0.1,81.0,16.9,7.0,4.6,0.4,0.4,0.2,0.432,0.0,0.72,2.2,5.0,0.0,0.0,2.7,3.7,2.0,2.6,1.0,1.9,IND,ok,0.0,201946.0,Tyler Hansbrough
Terrence Williams,2009,22,Shooting Guard/Small Forward,201944.0,2012-13,-0.5,24.0,13.2,4.6,1.8,1.6,0.5,0.1,0.495,0.333,0.429,2.0,4.0,0.2,0.6,0.4,0.9,0.2,1.7,0.9,0.5,BOS,ok,0.0,201944.0,Terrence Williams
DaJuan Summers,2009,23,Small Forward,201969.0,2012-13,0.0,2.0,3.3,1.0,1.0,0.5,0.0,0.0,0.25,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,LAC,ok,0.0,201969.0,DaJuan Summers
Omri Casspi,2009,24,Small Forward,201956.0,2013-14,2.1,71.0,18.1,6.9,3.7,1.2,0.6,0.2,0.422,0.347,0.68,2.4,5.8,0.9,2.5,1.2,1.7,0.8,2.9,1.0,1.4,HOU,ok,0.5,201956.0,Omri Casspi
Ty Lawson,2009,25,Point Guard,201951.0,2012-13,3.9,73.0,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,6.1,13.3,1.2,3.2,3.2,4.3,0.5,2.2,2.5,1.8,DEN,ok,2.5,201951.0,Ty Lawson
Victor Claver,2009,26,Small Forward,201964.0,2013-14,1.1,21.0,8.7,2.2,1.9,0.6,0.1,0.1,0.405,0.167,0.909,0.8,2.0,0.1,0.9,0.5,0.5,0.4,1.4,0.5,0.8,POR,ok,-0.1,201964.0,Victor Claver
Taj Gibson,2009,27,Power Forward,201959.0,2011-12,4.7,63.0,20.4,7.7,5.3,0.7,0.4,1.3,0.495,0.0,0.622,3.2,6.4,0.0,0.0,1.3,2.1,2.1,3.1,1.0,2.1,CHI,ok,0.9,201959.0,Taj Gibson
Darren Collison,2009,28,Point Guard,201954.0,2013-14,2.7,80.0,25.9,11.4,2.4,3.7,1.2,0.2,0.467,0.376,0.857,4.1,8.7,0.9,2.4,2.4,2.8,0.6,1.8,1.7,1.9,LAC,ok,1.8,201954.0,Darren Collison
Toney Douglas,2009,29,Point Guard/Shooting Guard,201962.0,2012-13,1.5,71.0,18.1,7.5,1.9,2.1,1.0,0.0,0.403,0.38,0.905,2.6,6.6,1.2,3.0,1.1,1.2,0.5,1.5,1.1,2.0,SAC,ok,0.5,201962.0,Toney Douglas
Sam Young,2009,30,Small Forward,201970.0,2010-11,1.0,78.0,20.2,7.3,2.4,0.9,0.9,0.3,0.472,0.34,0.767,3.0,6.3,0.2,0.6,1.1,1.5,0.5,1.9,0.8,1.5,MEM,ok,0.5,201970.0,Sam Young
Jrue Holiday,2009,31,Point Guard/Shooting Guard,201950.0,2011-12,3.3,65.0,33.8,13.5,3.3,4.5,1.6,0.3,0.432,0.38,0.783,5.5,12.8,1.0,2.6,1.4,1.8,0.9,2.4,2.1,2.1,PHI,ok,1.3,201950.0,Jrue Holiday
Dionte Christmas,2009,32,Shooting Guard,202091.0,2013-14,-0.7,31.0,6.4,2.3,1.2,0.3,0.1,0.1,0.355,0.29,0.75,0.7,2.0,0.3,1.0,0.6,0.8,0.4,0.8,0.2,0.6,PHX,ok,0.0,202091.0,Dionte Christmas
Jonas Jerebko,2009,33,Small Forward,201973.0,2013-14,-1.4,64.0,11.6,4.2,2.7,0.6,0.3,0.1,0.471,0.419,0.729,1.5,3.3,0.5,1.2,0.7,0.9,0.8,1.9,0.7,1.3,DET,ok,0.1,201973.0,Jonas Jerebko
Jermaine Taylor,2009,34,Shooting Guard,201966.0,2010-11,-2.9,34.0,14.2,6.6,1.8,0.9,0.4,0.1,0.48,0.311,0.75,2.8,5.8,0.4,1.3,0.6,0.8,0.8,1.1,1.4,1.1,SAC,ok,-0.2,201966.0,Jermaine Taylor
Patrick Mills,2009,35,Point Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Marcus Thornton,2009,36,Shooting Guard,201977.0,2013-14,-0.4,72.0,24.2,9.8,2.8,1.1,0.8,0.2,0.394,0.345,0.804,3.5,8.9,1.5,4.4,1.3,1.6,0.8,2.0,0.9,1.5,BKN,ok,0.2,201977.0,Marcus Thornton
Josh Heytvelt,2009,37,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Austin Daye,2009,38,Small Forward,201948.0,2012-13,0.4,55.0,12.3,4.5,2.2,0.8,0.3,0.4,0.433,0.418,0.765,1.6,3.8,0.7,1.8,0.5,0.6,0.3,1.9,0.5,1.5,MEM,ok,0.4,201948.0,Austin Daye
Jeff Pendergraph,2009,39,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Rodrigue Beaubois,2009,40,Point Guard,201958.0,2009-10,1.0,56.0,12.5,7.1,1.4,1.3,0.5,0.2,0.518,0.409,0.808,2.8,5.3,0.8,2.0,0.8,0.9,0.2,1.2,1.0,1.5,DAL,ok,0.6,201958.0,Rodrigue Beaubois
Curtis Jerrells,2009,41,Point Guard,201998.0,,,,,,,,,,,,,,,,,,,,,,,,no_data_in_2009-10_to_2013-14,,,
