 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/07/2014


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"1","Doug McDermott","Creighton","Sr.","6-8","F","35","330","96","178","934","26.7"
"2","T.J. Warren","NC State","So.","6-8","F","35","342","31","156","871","24.9"
"3","Billy Baron","Canisius","Sr.","6-2","G","34","247","107","220","821","24.1"
"4","Patrick Miller","Tennessee St.","Sr.","6-0","G","30","230","44","208","712","23.7"
"5","Tyler Haws","BYU","Jr.","6-5","G","33","252","40","223","767","23.2"
"6","D.J. Balentine","Evansville","So.","6-2","G","33","229","78","216","752","22.8"
"7","Tyler Harvey","Eastern Wash.","So.","6-4","G","31","206","109","156","677","21.8"
"8","Bryce Cotton","Providence","Sr.","6-1","G","35","230","77","226","763","21.8"
"9","Aaric Murray","Texas Southern","Sr.","6-10","C","34","241","31","223","736","21.6"
"10","Kendrick Perry","Youngstown St.","Sr.","6-0","G","32","215","62","190","682","21.3"
"11","Shawn Glover","Oral Roberts","Sr.","6-7","F","33","273","25","132","703","21.3"
"12","Alan Williams","UC Santa Barbara","Jr.","6-7","C","28","224","0","148","596","21.3"
"13","James Daniel III","Howard","Fr.","6-0","G","28","155","91","186","587","21.0"
"14","Jeremy Ingram","N.C. Central","Sr.","6-3","G","34","212","68","216","708","20.8"
"15","Roberto Nelson","Oregon St.","Sr.","6-4","G","32","200","57","206","663","20.7"
"16","Travis Bader","Oakland","Sr.","6-5","G","33","185","147","164","681","20.6"
"17","Sean Kilpatrick","Cincinnati","Sr.","6-4","G","34","214","93","180","701","20.6"
"18","Cameron Bairstow","New Mexico","Sr.","6-9","F","34","237","1","219","694","20.4"
"19","Reger Dowell","UT Arlington","Sr.","6-1","G","30","194","96","124","608","20.3"
"","Keifer Sykes","Green Bay","Jr.","6-0","G","30","195","30","188","608","20.3"
"21","Jordan Downing","Presbyterian","Sr.","6-5","G","32","235","80","97","647","20.2"
"22","Stephen Madison","Idaho","Sr.","6-5","F","34","218","39","209","684","20.1"
"23","D.J. Covington","VMI","Sr.","6-9","F","35","268","0","168","704","20.1"
"24","Deonte Burton","Nevada","Sr.","6-1","G","32","215","49","164","643","20.1"
"25","Jabari Brown","Missouri","Jr.","6-5","G","35","203","80","212","698","19.9"
"26","Zeke Upshaw","Hofstra","Sr.","6-6","G","33","197","91","170","655","19.8"
"27","Karvel Anderson","Robert Morris","Sr.","6-2","G","36","248","119","95","710","19.7"
"28","Devon Saddler","Delaware","Sr.","6-2","G","28","190","47","125","552","19.7"
"29","Isiah Umipig","Seattle U","Jr.","6-0","G","30","185","106","111","587","19.6"
"30","John Brown","High Point","So.","6-8","F","31","224","0","155","603","19.5"
