Name,draft_year,draft_pick,position,Season,Team,Cl,Pos,Ht,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
Blake Griffin,2009,1,Power Forward,2008-2009,Oklahoma,So.,F,6-10,35,300.0,3.0,191.0,794.0,22.7,459.0,65.4,,8.0,37.5,324.0,58.95061728395062,504.0,14.4,80.0,2.2857142857142856,41.0,1.2,39.0,1.1142857142857143,116.0,,,,,,135.0,369.0
James Harden,2009,2,Shooting Guard,2008-2009,Arizona St.,So.,G,6-5,35,221.0,58.0,204.0,704.0,20.1,452.0,48.9,1.7,163.0,35.58282208588957,270.0,75.6,195.0,5.6,148.0,4.2,11.0,0.3142857142857143,59.0,1.7,118.0,1.25,,,,,48.0,147.0
Jordan Hill,2009,4,Power Forward,2008-2009,Arizona,Jr.,F,6-10,34,252.0,0.0,117.0,621.0,18.3,469.0,53.7,,0.0,,179.0,65.4,375.0,11.0,50.0,1.4705882352941178,58.0,1.7,30.0,0.8823529411764706,97.0,,,,,,143.0,232.0
Hasheem Thabeet,2009,6,Center,2008-2009,UConn,Jr.,C,7-3,36,178.0,0.0,133.0,489.0,13.6,267.0,66.66666666666667,,0.0,,212.0,62.7,388.0,10.8,17.0,0.4722222222222222,152.0,4.2,22.0,0.6111111111111112,65.0,,,,,,129.0,246.0
Stephen Curry,2009,7,Point Guard/Shooting Guard,2008-2009,Davidson,Jr.,G,6-3,34,312.0,130.0,220.0,974.0,28.6,687.0,45.4,3.8,336.0,38.7,251.0,87.6,151.0,4.4411764705882355,189.0,5.6,8.0,0.2352941176470588,86.0,2.5,126.0,1.5,,,,,21.0,130.0
DeMar DeRozan,2009,8,Shooting Guard,2008-2009,Southern California,Fr.,F,6-7,35,192.0,6.0,95.0,485.0,13.9,367.0,52.3,,36.0,16.666666666666668,147.0,64.6,201.0,5.7,51.0,1.457142857142857,13.0,0.3714285714285714,31.0,0.8857142857142857,73.0,,,,,,84.0,117.0
Jonny Flynn,2009,10,Point Guard,2008-2009,Syracuse,So.,G,6-0,38,219.0,45.0,180.0,663.0,17.4,476.0,46.0,,142.0,31.690140845070424,229.0,78.6,104.0,2.736842105263158,254.0,6.7,6.0,0.1578947368421052,54.0,1.4,129.0,1.97,,,,,22.0,82.0
Earl Clark,2009,11,Small Forward,2008-2009,Louisville,Jr.,F,6-9,37,202.0,31.0,90.0,525.0,14.2,442.0,45.7,,95.0,32.63157894736842,139.0,64.74820143884892,322.0,8.7,119.0,3.2,51.0,1.4,38.0,1.027027027027027,119.0,1.0,,,,,102.0,220.0
James Johnson,2009,12,Small Forward,2008-2009,Quinnipiac,Fr.,G,6-0,31,187.0,22.0,69.0,465.0,15.0,345.0,54.20289855072464,,69.0,31.884057971014492,99.0,69.6969696969697,264.0,8.516129032258064,127.0,4.1,48.0,1.5483870967741935,48.0,1.5,86.0,1.48,,,,,79.0,185.0
Jeff Teague,2009,14,Point Guard,2008-2009,Wake Forest,So.,G,6-2,31,180.0,45.0,179.0,584.0,18.8,371.0,48.5,1.5,102.0,44.11764705882353,219.0,81.7,102.0,3.2903225806451615,110.0,3.5,20.0,0.6,58.0,1.9,104.0,1.06,,,,,15.0,87.0
Tyreke Evans,2009,15,Shooting Guard,2008-2009,Memphis,Fr.,G,6-6,37,230.0,34.0,138.0,632.0,17.1,505.0,45.5,,124.0,27.419354838709676,194.0,71.1,198.0,5.4,143.0,3.9,29.0,0.8,77.0,2.1,133.0,1.08,,,,,47.0,151.0
Wayne Ellington,2009,16,Shooting Guard,2008-2009,North Carolina,Jr.,G,6-4,38,215.0,85.0,87.0,602.0,15.8,445.0,48.3,2.2,204.0,41.666666666666664,112.0,77.67857142857143,186.0,4.894736842105263,101.0,2.7,6.0,0.1578947368421052,36.0,0.9473684210526316,62.0,,,,,,57.0,129.0
Eric Maynor,2009,17,Point Guard,2008-2009,VCU,Sr.,G,6-2,34,248.0,66.0,198.0,760.0,22.4,536.0,46.3,1.9,183.0,36.0655737704918,243.0,81.5,122.0,3.588235294117647,210.0,6.2,6.0,0.1764705882352941,58.0,1.7,101.0,2.08,,,,,16.0,106.0
Chase Budinger,2009,18,Shooting Guard/Small Forward,2008-2009,Arizona,Jr.,F,6-7,35,219.0,67.0,125.0,630.0,18.0,456.0,48.0,1.9,168.0,39.88095238095238,156.0,80.1,217.0,6.2,118.0,3.4,16.0,0.4571428571428571,50.0,1.4,85.0,1.39,,,,,49.0,168.0
Derrick Brown,2009,19,Small Forward,2008-2009,Xavier,Jr.,F,6-8,35,170.0,39.0,100.0,479.0,13.7,330.0,51.51515151515152,,87.0,44.827586206896555,135.0,74.1,212.0,6.1,63.0,1.8,30.0,0.9,24.0,0.6857142857142857,59.0,,,,,,81.0,128.0
DeJuan Blair,2009,20,Power Forward,2008-2009,Pittsburgh,So.,F,6-7,35,226.0,0.0,98.0,550.0,15.7,381.0,59.3,,0.0,,162.0,60.5,432.0,12.3,42.0,1.2,34.0,1.0,54.0,1.5,44.0,,,,,,192.0,232.0
Tyler Hansbrough,2009,21,Power Forward,2008-2009,North Carolina,Sr.,F,6-9,34,223.0,9.0,249.0,704.0,20.7,434.0,51.4,,23.0,39.130434782608695,296.0,84.1,276.0,8.1,34.0,1.0,12.0,0.3529411764705882,42.0,1.2,63.0,,,,,,103.0,173.0
