Season,Name,Team,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
2008-2009,A.D. Vassallo,Virginia Tech,Sr.,6-6,G,34,232,83,101,648,19.1,516,45.0,2.4,,,121,83.5,211,6.2,88,2.6,29,0.9,,,,,,,,,,
2008-2009,A.J. Abrams,Texas,Sr.,5-11,G,35,193,105,89,580,16.6,484,39.9,3.0,265,39.6,105,84.8,,,,,,,47,1.3,,,,,,,,
2008-2009,A.J. Ogilvy,Vanderbilt,So.,6-11,C,29,152,7,137,448,15.4,280,54.3,,,,196,69.9,207,7.1,,,48,1.7,,,,,,,,,,
2008-2009,A.J. Price,UConn,Sr.,6-2,G,35,170,82,93,515,14.7,,,2.3,,,129,72.1,,,164,4.7,,,,,94,1.74,,,,,,
2008-2009,A.J. Rompza,UCF,Fr.,5-9,G,29,,,,,,,,,,,,,,,150,5.2,,,46,1.6,63,2.38,,,,,,
2008-2009,A.J. Slaughter,Western Ky.,Jr.,6-3,G,32,171,72,99,513,16.0,410,41.7,2.3,,,129,76.7,,,114,3.6,,,43,1.3,68,1.68,,,,,,
2008-2009,A.J. Smith,Stetson,Jr.,6-0,G,29,111,57,86,365,12.6,,,2.0,,,105,81.9,,,110,3.8,,,,,104,1.06,,,,,,
2008-2009,Aaron Jackson,Duquesne,Sr.,6-4,G,34,229,47,152,657,19.3,413,55.4,,,,188,80.9,186,5.5,194,5.7,,,56,1.6,103,1.88,,,,,,
2008-2009,Aaron Johnson,UAB,So.,5-7,G,34,,,,,,,,,,,,,,,123,3.6,,,,,63,1.95,,,,,,
2008-2009,Aaron Linn,Gardner-Webb,Sr.,6-3,G,30,157,38,78,430,14.3,369,42.5,,,,100,78.0,,,90,3.0,,,59,2.0,76,1.18,,,,,,
2008-2009,Aaron Scott,UC Riverside,Sr.,6-4,G,25,,,,,,,,,,,,,164,6.6,,,,,31,1.2,,,,,,,,
2008-2009,Adam Koch,UNI,Jr.,6-8,F,34,120,14,158,412,12.1,,,,,,205,77.1,,,,,,,,,,,,,,,,
2008-2009,Adam McCoy,North Texas,Sr.,6-4,G,31,,53,,,,,,1.7,,,,,,,,,,,,,,,,,,,,
2008-2009,Adam Teague,Navy,Sr.,6-8,F,30,,75,,,,,,2.5,177,42.4,,,,,,,,,,,,,,,,,,
2008-2009,Adam Waddell,Wyoming,Fr.,6-10,C,33,,,,,,,,,,,,,,,,,21,0.6,,,,,,,,,,
2008-2009,Adam Wire,Cornell,So.,6-5,F,29,,,,,,,,,,,,,,,,,,,41,1.4,,,,,,,,
2008-2009,Ade Dagunduro,Nebraska,Sr.,6-5,G,31,143,11,101,398,12.8,,,,,,145,69.7,,,,,,,39,1.3,,,,,,,,
2008-2009,Adnan Hodzic,Lipscomb,So.,6-8,C,30,210,0,93,513,17.1,358,58.7,,,,125,74.4,212,7.1,,,,,,,,,,,,,,
2008-2009,Adrian Bowie,Maryland,So.,6-2,G,35,,,,,,,,,,,,,,,89,2.5,,,,,,,,,,,,
2008-2009,Adrian Williams,Brown,So.,6-1,G,27,,58,,,,,,2.1,,,,,,,,,,,,,,,,,,,,
2008-2009,Afam Muojeke,Wyoming,Fr.,6-8,F,33,154,41,105,454,13.8,,,,,,144,72.9,175,5.3,,,,,,,,,,,,,,
