ngram,log_odds,count_top,count_bot
great speed,9.887982327028546,9,0
aran 1,9.71824001838751,8,0
averaged nearly,9.71824001838751,8,0
wash,9.71824001838751,8,0
clem,9.71824001838751,8,0
aran 3,9.525834774964164,7,0
u,9.525834774964164,7,0
contributes,9.525834774964164,7,0
clutch performer,9.525834774964164,7,0
innate,9.303767876850408,6,0
7 turnovers,9.303767876850408,6,0
practice,9.303767876850408,6,0
doubled,9.303767876850408,6,0
game solid,9.303767876850408,6,0
okst,9.303767876850408,6,0
usf,9.303767876850408,6,0
path,9.041196044731052,5,0
las vegas,9.041196044731052,5,0
european championship,9.041196044731052,5,0
energy player,9.041196044731052,5,0
bast 4,9.041196044731052,5,0
game excellent,9.041196044731052,5,0
entering college,9.041196044731052,5,0
floor solid,9.041196044731052,5,0
big west,9.041196044731052,5,0
seton,9.041196044731052,5,0
averaged two,9.041196044731052,5,0
4 10,9.041196044731052,5,0
granted,9.041196044731052,5,0
high usage,9.041196044731052,5,0
limitless,9.041196044731052,5,0
every possession,9.041196044731052,5,0
dish,9.041196044731052,5,0
look easy,9.041196044731052,5,0
happen,9.041196044731052,5,0
vegas,9.041196044731052,5,0
steady improvement,9.041196044731052,5,0
intelligence,9.041196044731052,5,0
las,9.041196044731052,5,0
worked hard,9.041196044731052,5,0
jump passing,9.041196044731052,5,0
scoring load,9.041196044731052,5,0
extremely efficient,9.041196044731052,5,0
breakaway,9.041196044731052,5,0
375,9.041196044731052,5,0
fearless,3.759845988957192,13,1
bast 6,3.6444437318649836,12,1
worked,3.6444437318649836,12,1
good rate,3.2297542549985323,9,1
average athlete,3.2297542549985323,9,1
spectacular,3.0600119463574966,8,1
determination,3.0600119463574966,8,1
shooting numbers,3.0600119463574966,8,1
could struggle,3.0600119463574966,8,1
game shows,3.0600119463574966,8,1
knocking,3.0600119463574966,8,1
8 75,3.0600119463574966,8,1
aau,3.0600119463574966,8,1
instant,3.0600119463574966,8,1
drop,3.0600119463574966,8,1
level scorer,3.0600119463574966,8,1
throw percentage,3.0600119463574966,8,1
gonzaga,2.9733270987569895,15,2
become better,2.8676067029341503,7,1
loses,2.8676067029341503,7,1
9 75,2.8676067029341503,7,1
timely,2.8676067029341503,7,1
drawn,2.8676067029341503,7,1
9 per,2.8676067029341503,7,1
suggests,2.8676067029341503,7,1
rim runner,2.8676067029341503,7,1
mid second,2.8676067029341503,7,1
3 19,2.6455398048203946,6,1
hopp,2.6455398048203946,6,1
defensive presence,2.6455398048203946,6,1
2 years,2.6455398048203946,6,1
ganeles,2.6455398048203946,6,1
wing prospect,2.6455398048203946,6,1
find teammates,2.6455398048203946,6,1
entered,2.6455398048203946,6,1
good motor,2.6455398048203946,6,1
three year,2.6455398048203946,6,1
shows excellent,2.6455398048203946,6,1
second rounder,2.6455398048203946,6,1
fiba,2.6455398048203946,6,1
game makes,2.6455398048203946,6,1
keep defenders,2.6455398048203946,6,1
share,2.6455398048203946,6,1
2014 usa,2.6455398048203946,6,1
shooting motion,2.390742523516474,15,3
six,2.3887578655720336,10,2
tennessee,2.3887578655720336,10,2
great vision,2.3887578655720336,10,2
2019 draft,2.3887578655720336,10,2
foot work,2.3829679727010387,5,1
ian powers,2.3829679727010387,5,1
11 standing,2.3829679727010387,5,1
long ways,2.3829679727010387,5,1
college game,2.3829679727010387,5,1
grew,2.3829679727010387,5,1
strengths big,2.3829679727010387,5,1
elbow,2.3829679727010387,5,1
level notes,2.3829679727010387,5,1
wont,2.3829679727010387,5,1
powers,2.3829679727010387,5,1
instant offense,2.3829679727010387,5,1
serious,2.3829679727010387,5,1
could stand,2.3829679727010387,5,1
superb,2.3829679727010387,5,1
composed,2.3829679727010387,5,1
ian,2.3829679727010387,5,1
rock,2.3829679727010387,5,1
excellent touch,2.3829679727010387,5,1
post skills,2.3829679727010387,5,1
around game,2.3829679727010387,5,1
consistent shooter,2.3829679727010387,5,1
leg,2.3829679727010387,5,1
advised,2.3829679727010387,5,1
5 shooting,2.3829679727010387,5,1
11 75,2.3829679727010387,5,1
10 pick,2.3829679727010387,5,1
sixth,2.3829679727010387,5,1
ending,2.3829679727010387,5,1
enjoys,2.3829679727010387,5,1
u16 european,2.3829679727010387,5,1
great shooting,2.3829679727010387,5,1
regularity,2.3829679727010387,5,1
florida state,2.3829679727010387,5,1
249,2.3829679727010387,5,1
consistency shot,2.3829679727010387,5,1
two turnovers,2.3829679727010387,5,1
helps make,2.3829679727010387,5,1
armour,2.3335306818117267,24,5
