ngram,log_odds,count_top,count_bot
u17,10.7206114968231,19,0
u16 americas,10.7206114968231,19,0
u17 world,10.642639352371944,18,0
ku,10.472790891853396,16,0
pf 2009,9.79518879910126,10,0
pick n,9.79518879910126,10,0
pps 2009,9.79518879910126,10,0
isu,9.79518879910126,10,0
impacts,9.643334043237559,9,0
projections,9.643334043237559,9,0
1st step,9.473597387087882,8,0
n roll,9.473597387087882,8,0
offensive per,9.473597387087882,8,0
rose,9.473597387087882,8,0
msst,9.473597387087882,8,0
2010 11,9.473597387087882,8,0
2009 2010,9.473597387087882,8,0
tex,9.473597387087882,8,0
303,9.473597387087882,8,0
everyone,9.28119779604134,7,0
six games,9.28119779604134,7,0
desautelle,9.28119779604134,7,0
peach,9.28119779604134,7,0
6 blocks,9.28119779604134,7,0
defensive side,9.28119779604134,7,0
soccer,9.28119779604134,7,0
peach jam,9.28119779604134,7,0
10 6,9.28119779604134,7,0
154,9.28119779604134,7,0
squad,9.28119779604134,7,0
excellent job,9.28119779604134,7,0
well coordinated,9.28119779604134,7,0
intimidating,9.28119779604134,7,0
24 season,9.05913655018984,6,0
uk 37,9.05913655018984,6,0
highly efficient,9.05913655018984,6,0
dnp,9.05913655018984,6,0
utah,9.05913655018984,6,0
element,9.05913655018984,6,0
foot work,9.05913655018984,6,0
improve consistency,9.05913655018984,6,0
trait,9.05913655018984,6,0
roll game,9.05913655018984,6,0
2008 borko,9.05913655018984,6,0
father played,9.05913655018984,6,0
motenko,9.05913655018984,6,0
apparently,9.05913655018984,6,0
unrefined,9.05913655018984,6,0
eybl season,9.05913655018984,6,0
team usa,9.05913655018984,6,0
hedge,9.05913655018984,6,0
grind session,9.05913655018984,6,0
dnp 2009,9.05913655018984,6,0
pick roll,9.05913655018984,6,0
1 13,9.05913655018984,6,0
29 2008,9.05913655018984,6,0
grown,9.05913655018984,6,0
gets good,9.05913655018984,6,0
6 free,8.796570370218193,5,0
114 107,8.796570370218193,5,0
still must,8.796570370218193,5,0
pergame 31,8.796570370218193,5,0
2 nd,8.796570370218193,5,0
us,8.796570370218193,5,0
fashion,8.796570370218193,5,0
offensive repertoire,8.796570370218193,5,0
much less,8.796570370218193,5,0
241,8.796570370218193,5,0
16 6,8.796570370218193,5,0
6 offensive,8.796570370218193,5,0
tomes 12,8.796570370218193,5,0
note,8.796570370218193,5,0
school sophomore,8.796570370218193,5,0
consistency shot,8.796570370218193,5,0
perimeter oriented,8.796570370218193,5,0
spin moves,8.796570370218193,5,0
c,8.796570370218193,5,0
top prospects,8.796570370218193,5,0
20 lbs,8.796570370218193,5,0
baby hook,8.796570370218193,5,0
nd,8.796570370218193,5,0
sr season,8.796570370218193,5,0
163,8.796570370218193,5,0
within close,8.796570370218193,5,0
knee injury,8.796570370218193,5,0
time getting,8.796570370218193,5,0
2 15,8.796570370218193,5,0
253,8.796570370218193,5,0
lacks explosiveness,8.796570370218193,5,0
2023 solid,8.796570370218193,5,0
10 player,8.796570370218193,5,0
long stretches,8.796570370218193,5,0
md,8.796570370218193,5,0
contract,8.796570370218193,5,0
earned mvp,8.796570370218193,5,0
imagine,8.796570370218193,5,0
129,8.796570370218193,5,0
nibc 2022,8.796570370218193,5,0
0 1,3.8214507044039774,32,2
119,3.5151783968312245,13,1
scout,3.5151783968312245,13,1
americas championship,3.4483208670892367,37,3
n,3.3997817926886214,12,1
128,3.274348317513315,11,1
jam,3.274348317513315,11,1
114,3.136964029847297,10,1
coordinated,3.136964029847297,10,1
pretty well,3.136964029847297,10,1
170,3.136964029847297,10,1
pretty good,3.136964029847297,10,1
categories,3.136964029847297,10,1
state championship,3.136964029847297,10,1
americas,3.072944515627471,38,4
06,3.0695332325174736,19,2
possesses great,2.9851092739835963,9,1
4 blocks,2.9851092739835963,9,1
240,2.9851092739835963,9,1
essential,2.9851092739835963,9,1
cup,2.9632459836992915,44,5
world cup,2.9632459836992915,44,5
matter,2.815372617833919,8,1
419,2.815372617833919,8,1
rangy,2.815372617833919,8,1
extremely long,2.815372617833919,8,1
refined,2.815372617833919,8,1
great touch,2.815372617833919,8,1
94,2.815372617833919,8,1
regularly,2.815372617833919,8,1
superior,2.815372617833919,8,1
find teammates,2.815372617833919,8,1
9 6,2.815372617833919,8,1
gambling,2.815372617833919,8,1
willing defender,2.815372617833919,8,1
clip 06,2.7286515032325465,15,2
gold,2.6291726887194287,14,2
imposing,2.6229730267873776,7,1
hesitate,2.6229730267873776,7,1
colorado,2.6229730267873776,7,1
tenacity,2.6229730267873776,7,1
garbage,2.6229730267873776,7,1
campus,2.6229730267873776,7,1
182,2.6229730267873776,7,1
img,2.6229730267873776,7,1
106,2.6229730267873776,7,1
remarkable,2.6229730267873776,7,1
level athleticism,2.6229730267873776,7,1
middle,2.6229730267873776,7,1
tool,2.6229730267873776,7,1
maintaining,2.6229730267873776,7,1
highest level,2.6229730267873776,7,1
notes son,2.6229730267873776,7,1
website,2.6229730267873776,7,1
gains experience,2.6229730267873776,7,1
shows nice,2.6229730267873776,7,1
aran 1,2.6229730267873776,7,1
199,2.6229730267873776,7,1
167,2.6229730267873776,7,1
world,2.5427552457708362,46,7
1st,2.525490349581535,26,4
2023 24,2.5223249017795606,13,2
past year,2.4069282976369575,12,2
point forward,2.4069282976369575,12,2
premium website,2.4009117809358784,6,1
considerable,2.4009117809358784,6,1
162,2.4009117809358784,6,1
240 lbs,2.4009117809358784,6,1
226,2.4009117809358784,6,1
uses size,2.4009117809358784,6,1
steve,2.4009117809358784,6,1
10 season,2.4009117809358784,6,1
service,2.4009117809358784,6,1
5 games,2.4009117809358784,6,1
img academy,2.4009117809358784,6,1
7 feet,2.4009117809358784,6,1
full name,2.4009117809358784,6,1
bodies,2.4009117809358784,6,1
scouting service,2.4009117809358784,6,1
weaknesses although,2.4009117809358784,6,1
pf 2008,2.4009117809358784,6,1
please,2.4009117809358784,6,1
grind,2.4009117809358784,6,1
nike big,2.4009117809358784,6,1
sloppy,2.4009117809358784,6,1
service hooprospects,2.4009117809358784,6,1
every possession,2.4009117809358784,6,1
hooprospects,2.4009117809358784,6,1
superb,2.4009117809358784,6,1
amare,2.4009117809358784,6,1
1 19,2.4009117809358784,6,1
recruiting,2.4009117809358784,6,1
net please,2.4009117809358784,6,1
college coaches,2.4009117809358784,6,1
range jump,2.4009117809358784,6,1
next elite,2.4009117809358784,6,1
193 lbs,2.4009117809358784,6,1
hope,2.4009117809358784,6,1
events,2.4009117809358784,6,1
please check,2.4009117809358784,6,1
elite 24,2.4009117809358784,6,1
full speed,2.4009117809358784,6,1
10 3,2.4009117809358784,6,1
testament,2.4009117809358784,6,1
lead scout,2.4009117809358784,6,1
149,2.4009117809358784,6,1
shape,2.4009117809358784,6,1
ian,2.4009117809358784,6,1
appropriate,2.4009117809358784,6,1
missed shots,2.4009117809358784,6,1
stoudemire,2.4009117809358784,6,1
scout contributor,2.4009117809358784,6,1
essential tool,2.4009117809358784,6,1
4 rpg,2.4009117809358784,6,1
hooprospects com,2.4009117809358784,6,1
146,2.4009117809358784,6,1
indicate,2.4009117809358784,6,1
man skills,2.4009117809358784,6,1
establish position,2.4009117809358784,6,1
website scouting,2.4009117809358784,6,1
0 0,2.284535918573445,22,4
rivals,2.281494822461651,11,2
wasserman,2.281494822461651,11,2
2 ft,2.281494822461651,11,2
foundation,2.281494822461651,11,2
4 4,2.281494822461651,11,2
finesse,2.239131355220101,16,3
mobile,2.239131355220101,16,3
per 40,2.1476955597037986,25,5
2018 shot,2.147074352687804,20,4
board,2.1460702309048774,15,3
moving forward,2.1460702309048774,15,3
good timing,2.1460702309048774,15,3
lb,2.144110534795633,10,2
impossible,2.144110534795633,10,2
1 16,2.144110534795633,10,2
unnecessary,2.144110534795633,10,2
featured,2.144110534795633,10,2
230,2.144110534795633,10,2
usa junior,2.144110534795633,10,2
couple,2.144110534795633,10,2
10 2,2.1383456009642305,5,1
2 rpg,2.1383456009642305,5,1
perimeter game,2.1383456009642305,5,1
adapt,2.1383456009642305,5,1
lightning,2.1383456009642305,5,1
usa basketball,2.1383456009642305,5,1
needle,2.1383456009642305,5,1
11 4,2.1383456009642305,5,1
crowd,2.1383456009642305,5,1
extended,2.1383456009642305,5,1
201,2.1383456009642305,5,1
rotates well,2.1383456009642305,5,1
overall pick,2.1383456009642305,5,1
montverde academy,2.1383456009642305,5,1
205,2.1383456009642305,5,1
traps,2.1383456009642305,5,1
ua,2.1383456009642305,5,1
beaten,2.1383456009642305,5,1
defense needs,2.1383456009642305,5,1
played basketball,2.1383456009642305,5,1
lb frame,2.1383456009642305,5,1
reasonable,2.1383456009642305,5,1
122,2.1383456009642305,5,1
33 0,2.1383456009642305,5,1
favorite,2.1383456009642305,5,1
quick reflexes,2.1383456009642305,5,1
parents,2.1383456009642305,5,1
highly effective,2.1383456009642305,5,1
weaknesses despite,2.1383456009642305,5,1
broad shoulders,2.1383456009642305,5,1
one hand,2.1383456009642305,5,1
sporadic,2.1383456009642305,5,1
high ceiling,2.1383456009642305,5,1
mixed results,2.1383456009642305,5,1
likely need,2.1383456009642305,5,1
percentage shots,2.1383456009642305,5,1
247,2.1383456009642305,5,1
1 41,2.1383456009642305,5,1
angle,2.1383456009642305,5,1
sneak,2.1383456009642305,5,1
ankle,2.1383456009642305,5,1
emerged,2.1383456009642305,5,1
rebounding ability,2.1383456009642305,5,1
repetition,2.1383456009642305,5,1
multiple spots,2.1383456009642305,5,1
limiting turnovers,2.1383456009642305,5,1
week,2.1383456009642305,5,1
hard working,2.1383456009642305,5,1
amare stoudemire,2.1383456009642305,5,1
pop situations,2.1383456009642305,5,1
ian powers,2.1383456009642305,5,1
ua next,2.1383456009642305,5,1
added intrigue,2.1383456009642305,5,1
outlet passes,2.1383456009642305,5,1
well gets,2.1383456009642305,5,1
6 14,2.1383456009642305,5,1
18 ppg,2.1383456009642305,5,1
2009 youtube,2.1383456009642305,5,1
111,2.1383456009642305,5,1
23 5,2.1383456009642305,5,1
powers,2.1383456009642305,5,1
mo,2.1383456009642305,5,1
stretch four,2.1383456009642305,5,1
look easy,2.1383456009642305,5,1
substantial,2.1383456009642305,5,1
affect,2.1383456009642305,5,1
p,2.1383456009642305,5,1
18 9,2.1383456009642305,5,1
outside game,2.1383456009642305,5,1
stage,2.073099923625323,19,4
9 0,2.0287597585020585,46,10
done,2.0274278972685913,23,5
measured 7,1.9922557789319324,9,2
8 fg,1.9922557789319324,9,2
u,1.9922557789319324,9,2
team mini,1.9922557789319324,9,2
mini camp,1.9922557789319324,9,2
ground quickly,1.9922557789319324,9,2
bigtime,1.9922557789319324,9,2
shows great,1.9922557789319324,9,2
footed,1.9922557789319324,9,2
learned,1.9922557789319324,9,2
wasted,1.9922557789319324,9,2
frequently,1.9922557789319324,9,2
wasted motion,1.9922557789319324,9,2
top notch,1.9922557789319324,9,2
u19 world,1.9417010212196324,26,6
40 minutes,1.9417010212196324,26,6
0 2,1.9397436294518915,13,3
com,1.9127009453188073,17,4
u18 americas,1.9127009453188073,17,4
pf,1.8696222656523105,70,17
1 0,1.8664775249842265,37,9
pps,1.8265374538721897,28,7
totals,1.8265374538721897,28,7
skill level,1.8252793186556193,16,4
catches,1.8252793186556193,16,4
2015 nike,1.8243470253092884,12,3
mismatch,1.8243470253092884,12,3
eye,1.8243470253092884,12,3
tomes 9,1.8243470253092884,12,3
2019 averaged,1.8243470253092884,12,3
baby,1.8243470253092884,12,3
averages,1.8243470253092884,12,3
fire,1.8225191227822553,8,2
mentioned,1.8225191227822553,8,2
2 blocks,1.8225191227822553,8,2
250,1.8225191227822553,8,2
international,1.8225191227822553,8,2
length 7,1.8225191227822553,8,2
rated,1.8225191227822553,8,2
slightly undersized,1.8225191227822553,8,2
steam,1.8225191227822553,8,2
rotates,1.8225191227822553,8,2
still learning,1.8225191227822553,8,2
arguably,1.8225191227822553,8,2
show much,1.8225191227822553,8,2
leaping skills,1.8225191227822553,8,2
special,1.8225191227822553,8,2
regarded,1.8171254418646612,4,1
4 24,1.8171254418646612,4,1
reaching,1.8171254418646612,4,1
scored 13,1.8171254418646612,4,1
dayton,1.8171254418646612,4,1
worked hard,1.8171254418646612,4,1
natural shot,1.8171254418646612,4,1
2013 lebron,1.8171254418646612,4,1
consideration,1.8171254418646612,4,1
excellent handle,1.8171254418646612,4,1
stoudemire skills,1.8171254418646612,4,1
clip 12,1.8171254418646612,4,1
196 lbs,1.8171254418646612,4,1
complimentary,1.8171254418646612,4,1
maneuvers,1.8171254418646612,4,1
crowded,1.8171254418646612,4,1
2018 finished,1.8171254418646612,4,1
2 2008,1.8171254418646612,4,1
extremely hard,1.8171254418646612,4,1
exciting,1.8171254418646612,4,1
prior,1.8171254418646612,4,1
legit 7,1.8171254418646612,4,1
nearly 2,1.8171254418646612,4,1
251,1.8171254418646612,4,1
