ngram,log_odds,count_top,count_bot
gauntlet,10.991479556698565,23,0
adidas gauntlet,10.991479556698565,23,0
good tools,9.927892081592855,11,0
8 fg,9.79050784078231,10,0
isu,9.79050784078231,10,0
impacts,9.79050784078231,10,0
coordinated,9.79050784078231,10,0
matter,9.79050784078231,10,0
long ways,9.638653131773317,9,0
shot 40,9.638653131773317,9,0
projections,9.638653131773317,9,0
gambling,9.638653131773317,9,0
303,9.468916522477583,8,0
msst,9.468916522477583,8,0
154,9.468916522477583,8,0
show much,9.468916522477583,8,0
improve finishing,9.468916522477583,8,0
149,9.468916522477583,8,0
offensive per,9.468916522477583,8,0
1 13,9.468916522477583,8,0
willing defender,9.27651697828422,7,0
foot work,9.27651697828422,7,0
roll game,9.27651697828422,7,0
hesitate,9.27651697828422,7,0
middle,9.27651697828422,7,0
intimidating,9.27651697828422,7,0
peach,9.27651697828422,7,0
soccer,9.27651697828422,7,0
well coordinated,9.27651697828422,7,0
averaged 0,9.27651697828422,7,0
pick roll,9.27651697828422,7,0
father played,9.27651697828422,7,0
10 6,9.27651697828422,7,0
improve consistency,9.27651697828422,7,0
peach jam,9.27651697828422,7,0
elite 24,9.054455779285135,6,0
grind session,9.054455779285135,6,0
10 3,9.054455779285135,6,0
uk 37,9.054455779285135,6,0
motenko,9.054455779285135,6,0
squad,9.054455779285135,6,0
tomes 10,9.054455779285135,6,0
consistency shot,9.054455779285135,6,0
dunking,9.054455779285135,6,0
4 rpg,9.054455779285135,6,0
hedge,9.054455779285135,6,0
recruiting,9.054455779285135,6,0
team usa,9.054455779285135,6,0
dnp 2009,9.054455779285135,6,0
dnp,9.054455779285135,6,0
adidas eurocamp,9.054455779285135,6,0
eurocamp,9.054455779285135,6,0
session,9.054455779285135,6,0
offensive repertoire,9.054455779285135,6,0
element,9.054455779285135,6,0
appropriate,9.054455779285135,6,0
eybl season,9.054455779285135,6,0
turn 18,9.054455779285135,6,0
next elite,9.054455779285135,6,0
grown,9.054455779285135,6,0
excellent handle,8.791889646165139,5,0
trait,8.791889646165139,5,0
note,8.791889646165139,5,0
time getting,8.791889646165139,5,0
ua,8.791889646165139,5,0
bright future,8.791889646165139,5,0
everyone,8.791889646165139,5,0
193 lbs,8.791889646165139,5,0
extended,8.791889646165139,5,0
polishing,8.791889646165139,5,0
