ngram,log_odds,count_top,count_bot
matter,10.283440728380056,14,0
250,10.061196241471604,12,0
128,9.798378382807437,10,0
pf 2009,9.646523579033493,9,0
offensive repertoire,9.646523579033493,9,0
motenko,9.646523579033493,9,0
4 4,9.646523579033493,9,0
pps 2009,9.646523579033493,9,0
extremely long,9.476786874974358,8,0
rutg,9.476786874974358,8,0
msst,9.476786874974358,8,0
squad,9.476786874974358,8,0
regularly,9.476786874974358,8,0
c,9.476786874974358,8,0
spin moves,9.476786874974358,8,0
ian,9.476786874974358,8,0
powers,9.476786874974358,8,0
marq,9.476786874974358,8,0
thrown,9.284387236019143,7,0
late lottery,9.284387236019143,7,0
1 13,9.284387236019143,7,0
measured 7,9.284387236019143,7,0
ian powers,9.284387236019143,7,0
motenko 8,9.284387236019143,7,0
ranks,9.284387236019143,7,0
ppg 6,9.062325942259754,6,0
10 uk,9.062325942259754,6,0
24 season,9.062325942259754,6,0
safe,9.062325942259754,6,0
match ups,9.062325942259754,6,0
141,9.062325942259754,6,0
09 dnp,9.062325942259754,6,0
okst,9.062325942259754,6,0
2 years,9.062325942259754,6,0
described,9.062325942259754,6,0
frontcourt player,9.062325942259754,6,0
129,9.062325942259754,6,0
time weaknesses,9.062325942259754,6,0
showing excellent,9.062325942259754,6,0
isu,9.062325942259754,6,0
149,9.062325942259754,6,0
father played,9.062325942259754,6,0
253,9.062325942259754,6,0
extremely hard,9.062325942259754,6,0
grind session,9.062325942259754,6,0
level shooter,9.062325942259754,6,0
10 3,9.062325942259754,6,0
impacts,9.062325942259754,6,0
element,9.062325942259754,6,0
dnp,9.062325942259754,6,0
session,9.062325942259754,6,0
dnp 2009,9.062325942259754,6,0
tell,9.062325942259754,6,0
mo,8.799759714381002,5,0
gets good,8.799759714381002,5,0
247,8.799759714381002,5,0
16 4,8.799759714381002,5,0
shown much,8.799759714381002,5,0
193 lbs,8.799759714381002,5,0
000,8.799759714381002,5,0
154,8.799759714381002,5,0
knee,8.799759714381002,5,0
18 years,8.799759714381002,5,0
30 0,8.799759714381002,5,0
wingspan gives,8.799759714381002,5,0
incorporate,8.799759714381002,5,0
163,8.799759714381002,5,0
114 107,8.799759714381002,5,0
responded,8.799759714381002,5,0
2006 season,8.799759714381002,5,0
wide base,8.799759714381002,5,0
averaging 18,8.799759714381002,5,0
2013 lebron,8.799759714381002,5,0
overtime elite,8.799759714381002,5,0
tomes 7,8.799759714381002,5,0
4th,8.799759714381002,5,0
luc,8.799759714381002,5,0
powers 6,8.799759714381002,5,0
pretty well,8.799759714381002,5,0
shawn,8.799759714381002,5,0
purdue,8.799759714381002,5,0
111,8.799759714381002,5,0
31 3,8.799759714381002,5,0
rim running,8.799759714381002,5,0
3 seasons,8.799759714381002,5,0
150,8.799759714381002,5,0
lacks explosiveness,8.799759714381002,5,0
31 7,8.799759714381002,5,0
weber,8.799759714381002,5,0
buzz,8.799759714381002,5,0
athletic point,8.799759714381002,5,0
228,8.799759714381002,5,0
multitude,8.799759714381002,5,0
weber state,8.799759714381002,5,0
strong candidate,8.799759714381002,5,0
life,8.799759714381002,5,0
perimeter oriented,8.799759714381002,5,0
23 season,8.799759714381002,5,0
considerable,3.5183680997552713,13,1
2010 11,3.5183680997552713,13,1
240,3.40297144770007,12,1
doesnt,3.2775379246129486,11,1
find teammates,3.2775379246129486,11,1
107,3.2775379246129486,11,1
middle,3.2775379246129486,11,1
foundation,3.1401535890359025,10,1
rangy,3.1401535890359025,10,1
1st step,3.1401535890359025,10,1
killer,2.988298785261959,9,1
162,2.988298785261959,9,1
amazing,2.988298785261959,9,1
aran 1,2.988298785261959,9,1
arguably,2.988298785261959,9,1
alter,2.818562081202824,8,1
8 fg,2.818562081202824,8,1
desautelle,2.818562081202824,8,1
wingspan 9,2.818562081202824,8,1
signs,2.818562081202824,8,1
10 season,2.818562081202824,8,1
114,2.818562081202824,8,1
419,2.818562081202824,8,1
3 13,2.818562081202824,8,1
06,2.6344832151378874,21,3
coordinated,2.626162442247608,7,1
2017 draft,2.626162442247608,7,1
4 rpg,2.626162442247608,7,1
nowhere,2.626162442247608,7,1
103,2.626162442247608,7,1
contract,2.626162442247608,7,1
jump hook,2.626162442247608,7,1
1st round,2.626162442247608,7,1
essential,2.626162442247608,7,1
exciting,2.626162442247608,7,1
rushed,2.626162442247608,7,1
superstar,2.626162442247608,7,1
hgt w,2.626162442247608,7,1
167,2.626162442247608,7,1
201,2.626162442247608,7,1
still learning,2.626162442247608,7,1
wasserman,2.626162442247608,7,1
158,2.626162442247608,7,1
deceptive,2.525514580185586,13,2
88,2.4101179281303846,12,2
great hands,2.4041011484882198,6,1
paired,2.4041011484882198,6,1
medal,2.4041011484882198,6,1
added intrigue,2.4041011484882198,6,1
grind,2.4041011484882198,6,1
rose,2.4041011484882198,6,1
24 2010,2.4041011484882198,6,1
utah,2.4041011484882198,6,1
notes son,2.4041011484882198,6,1
indicate,2.4041011484882198,6,1
recruiting,2.4041011484882198,6,1
122,2.4041011484882198,6,1
impact player,2.4041011484882198,6,1
remarkable,2.4041011484882198,6,1
flash,2.4041011484882198,6,1
defensive side,2.4041011484882198,6,1
rated,2.4041011484882198,6,1
category,2.4041011484882198,6,1
pf 2008,2.4041011484882198,6,1
offseason,2.4041011484882198,6,1
184,2.4041011484882198,6,1
subpar,2.4041011484882198,6,1
186,2.4041011484882198,6,1
game well,2.4041011484882198,6,1
1 14,2.4041011484882198,6,1
roll game,2.4041011484882198,6,1
freakish,2.4041011484882198,6,1
4 14,2.4041011484882198,6,1
better shooter,2.4041011484882198,6,1
excellent job,2.4041011484882198,6,1
call,2.4041011484882198,6,1
effective offensive,2.4041011484882198,6,1
fsu,2.4041011484882198,6,1
