ngram,log_odds,count_top,count_bot
n,10.041002494300749,12,0
pf 2009,9.91556914548669,11,0
pps 2009,9.91556914548669,11,0
250,9.778184984179868,10,0
regularly,9.778184984179868,10,0
pick n,9.778184984179868,10,0
squad,9.778184984179868,10,0
offensive repertoire,9.626330354673307,9,0
measured 7,9.626330354673307,9,0
marq,9.456593824878714,8,0
msst,9.456593824878714,8,0
motenko,9.456593824878714,8,0
1 13,9.456593824878714,8,0
dnp,9.456593824878714,8,0
n roll,9.456593824878714,8,0
tex,9.456593824878714,8,0
dnp 2009,9.456593824878714,8,0
soccer,9.264194360185202,7,0
extremely long,9.264194360185202,7,0
late lottery,9.264194360185202,7,0
father played,9.264194360185202,7,0
154,9.264194360185202,7,0
gains experience,9.264194360185202,7,0
superstar,9.264194360185202,7,0
2009 2010,9.264194360185202,7,0
everyone,9.264194360185202,7,0
team usa,9.264194360185202,7,0
intimidating,9.264194360185202,7,0
impacts,9.264194360185202,7,0
level shooter,9.042133240684679,6,0
lacks explosiveness,9.042133240684679,6,0
campus,9.042133240684679,6,0
09 dnp,9.042133240684679,6,0
recording,9.042133240684679,6,0
desautelle,9.042133240684679,6,0
middle,9.042133240684679,6,0
okst,9.042133240684679,6,0
10 3,9.042133240684679,6,0
buzz,9.042133240684679,6,0
247,9.042133240684679,6,0
150,9.042133240684679,6,0
spin moves,9.042133240684679,6,0
safe,9.042133240684679,6,0
element,9.042133240684679,6,0
235,9.042133240684679,6,0
rose,9.042133240684679,6,0
253,9.042133240684679,6,0
303,9.042133240684679,6,0
8 fg,9.042133240684679,6,0
contract,9.042133240684679,6,0
imagine,8.779567187061952,5,0
repetition,8.779567187061952,5,0
2 15,8.779567187061952,5,0
motenko 8,8.779567187061952,5,0
pesky,8.779567187061952,5,0
conference play,8.779567187061952,5,0
wingspan gives,8.779567187061952,5,0
30 0,8.779567187061952,5,0
weber,8.779567187061952,5,0
weber state,8.779567187061952,5,0
sturdy,8.779567187061952,5,0
baby hook,8.779567187061952,5,0
193 lbs,8.779567187061952,5,0
163,8.779567187061952,5,0
excellent job,8.779567187061952,5,0
ferocious,8.779567187061952,5,0
great instincts,8.779567187061952,5,0
114 107,8.779567187061952,5,0
perimeter oriented,8.779567187061952,5,0
11 season,8.779567187061952,5,0
unrefined,8.779567187061952,5,0
133,8.779567187061952,5,0
md,8.779567187061952,5,0
averaging 18,8.779567187061952,5,0
141,8.779567187061952,5,0
4th,8.779567187061952,5,0
worked hard,8.779567187061952,5,0
foot work,8.779567187061952,5,0
mo,8.779567187061952,5,0
2 years,8.779567187061952,5,0
note,8.779567187061952,5,0
33 0,8.779567187061952,5,0
2013 lebron,8.779567187061952,5,0
c,8.779567187061952,5,0
129,8.779567187061952,5,0
blend,8.779567187061952,5,0
259,8.779567187061952,5,0
grind session,8.779567187061952,5,0
31 3,8.779567187061952,5,0
shown much,8.779567187061952,5,0
0 1,4.013894885128716,37,2
ku,3.7045005380728266,15,1
matter,3.4981741893526124,13,1
find teammates,3.4981741893526124,13,1
128,3.4981741893526124,13,1
06,3.448344784855598,25,2
240,3.3827777115733113,12,1
119,3.2573443627592535,11,1
2010 11,3.2573443627592535,11,1
2023 24,3.2573443627592535,11,1
88,3.1199602014524306,10,1
162,3.1199602014524306,10,1
scout,3.1199602014524306,10,1
1st step,3.1199602014524306,10,1
arguably,3.1199602014524306,10,1
projections,3.1199602014524306,10,1
3pta,3.1199602014524306,10,1
pretty well,3.1199602014524306,10,1
aran 1,2.9681055719458698,9,1
powers,2.9681055719458698,9,1
wasserman,2.9681055719458698,9,1
state championship,2.9681055719458698,9,1
94,2.9681055719458698,9,1
ian,2.9681055719458698,9,1
recruiting,2.9681055719458698,9,1
clip 06,2.8047080274931915,16,2
rated,2.7983690421512772,8,1
182,2.7983690421512772,8,1
10 season,2.7983690421512772,8,1
419,2.7983690421512772,8,1
167,2.7983690421512772,8,1
imposing,2.7983690421512772,8,1
thrown,2.7983690421512772,8,1
gambling,2.7983690421512772,8,1
ian powers,2.7983690421512772,8,1
garbage,2.7983690421512772,8,1
possesses great,2.7983690421512772,8,1
nike big,2.605969577457765,7,1
usa junior,2.605969577457765,7,1
114,2.605969577457765,7,1
two guard,2.605969577457765,7,1
practice,2.605969577457765,7,1
122,2.605969577457765,7,1
199,2.605969577457765,7,1
19 points,2.605969577457765,7,1
mentioned,2.605969577457765,7,1
1 19,2.605969577457765,7,1
shape,2.605969577457765,7,1
man skills,2.605969577457765,7,1
utah,2.605969577457765,7,1
remarkable,2.605969577457765,7,1
201,2.605969577457765,7,1
alter,2.605969577457765,7,1
fsu,2.605969577457765,7,1
refined,2.605969577457765,7,1
240 lbs,2.605969577457765,7,1
rangy,2.605969577457765,7,1
4 4,2.389924203047922,12,2
testament,2.383908457957242,6,1
athletic players,2.383908457957242,6,1
high ceiling,2.383908457957242,6,1
mini camp,2.383908457957242,6,1
205,2.383908457957242,6,1
111,2.383908457957242,6,1
virtually,2.383908457957242,6,1
rushed,2.383908457957242,6,1
3 seasons,2.383908457957242,6,1
described,2.383908457957242,6,1
notes son,2.383908457957242,6,1
gym,2.383908457957242,6,1
106,2.383908457957242,6,1
24 2010,2.383908457957242,6,1
5 games,2.383908457957242,6,1
team mini,2.383908457957242,6,1
youngest,2.383908457957242,6,1
eybl 2022,2.383908457957242,6,1
amazing,2.383908457957242,6,1
match ups,2.383908457957242,6,1
5 shooting,2.383908457957242,6,1
1st round,2.383908457957242,6,1
2009 youtube,2.383908457957242,6,1
great passer,2.383908457957242,6,1
size advantage,2.383908457957242,6,1
doesnt,2.383908457957242,6,1
158,2.383908457957242,6,1
wingspan 9,2.383908457957242,6,1
length athleticism,2.383908457957242,6,1
using screens,2.383908457957242,6,1
stoudemire,2.383908457957242,6,1
added intrigue,2.383908457957242,6,1
set shot,2.383908457957242,6,1
percentage shots,2.383908457957242,6,1
six games,2.383908457957242,6,1
0 0,2.3316440393539217,23,4
rivals,2.2644908542338644,11,2
top 5,2.2644908542338644,11,2
u,2.2644908542338644,11,2
averages,2.2644908542338644,11,2
deceptive,2.2644908542338644,11,2
1 0,2.1946394167768837,47,9
0 6,2.1784205715139997,31,6
done,2.130069220186609,20,4
skill level,2.1290657437457945,15,3
espn,2.1290657437457945,15,3
170,2.1271066929270415,10,2
fire,2.1271066929270415,10,2
edge,2.1271066929270415,10,2
could carve,2.1213424043345146,5,1
regard,2.1213424043345146,5,1
fashion,2.1213424043345146,5,1
understand,2.1213424043345146,5,1
103,2.1213424043345146,5,1
amare,2.1213424043345146,5,1
establish position,2.1213424043345146,5,1
glass hard,2.1213424043345146,5,1
look easy,2.1213424043345146,5,1
enamored,2.1213424043345146,5,1
play within,2.1213424043345146,5,1
grind,2.1213424043345146,5,1
foundation,2.1213424043345146,5,1
highly effective,2.1213424043345146,5,1
indicate,2.1213424043345146,5,1
may limit,2.1213424043345146,5,1
10 rebounds,2.1213424043345146,5,1
35 9,2.1213424043345146,5,1
one hand,2.1213424043345146,5,1
moving without,2.1213424043345146,5,1
rim well,2.1213424043345146,5,1
anchor,2.1213424043345146,5,1
driving ability,2.1213424043345146,5,1
steve,2.1213424043345146,5,1
five star,2.1213424043345146,5,1
strength weaknesses,2.1213424043345146,5,1
concerning,2.1213424043345146,5,1
chased,2.1213424043345146,5,1
star prospect,2.1213424043345146,5,1
dayton,2.1213424043345146,5,1
wingspan allows,2.1213424043345146,5,1
coordinated,2.1213424043345146,5,1
exciting,2.1213424043345146,5,1
blowing,2.1213424043345146,5,1
tricks,2.1213424043345146,5,1
lb frame,2.1213424043345146,5,1
powers 6,2.1213424043345146,5,1
clip 12,2.1213424043345146,5,1
flash,2.1213424043345146,5,1
glue,2.1213424043345146,5,1
game well,2.1213424043345146,5,1
montverde,2.1213424043345146,5,1
gifted athlete,2.1213424043345146,5,1
subpar,2.1213424043345146,5,1
inch vert,2.1213424043345146,5,1
23 5,2.1213424043345146,5,1
equal,2.1213424043345146,5,1
defensive side,2.1213424043345146,5,1
dunking,2.1213424043345146,5,1
kids,2.1213424043345146,5,1
range jump,2.1213424043345146,5,1
sporadic,2.1213424043345146,5,1
4 22,2.1213424043345146,5,1
roll game,2.1213424043345146,5,1
better shooter,2.1213424043345146,5,1
overall pick,2.1213424043345146,5,1
nowhere,2.1213424043345146,5,1
questioned,2.1213424043345146,5,1
4 10,2.1213424043345146,5,1
medal,2.1213424043345146,5,1
valued,2.1213424043345146,5,1
4 14,2.1213424043345146,5,1
strong rebounder,2.1213424043345146,5,1
parents,2.1213424043345146,5,1
96,2.1213424043345146,5,1
lightning,2.1213424043345146,5,1
9 blocks,2.1213424043345146,5,1
impact games,2.1213424043345146,5,1
13 1,2.1213424043345146,5,1
228,2.1213424043345146,5,1
pf 2008,2.1213424043345146,5,1
sr season,2.1213424043345146,5,1
nearly 2,2.1213424043345146,5,1
broad shoulders,2.1213424043345146,5,1
call,2.1213424043345146,5,1
nice size,2.1213424043345146,5,1
solid anticipation,2.1213424043345146,5,1
nc,2.1213424043345146,5,1
149,2.1213424043345146,5,1
10 ppg,2.1213424043345146,5,1
2 rpg,2.1213424043345146,5,1
64,2.0560949175018184,19,4
1st,2.04655076732751,33,7
230,2.0295870556000892,14,3
good timing,2.0295870556000892,14,3
mobile,2.0295870556000892,14,3
considerable,1.9752520634204807,9,2
patient,1.9752520634204807,9,2
9 6,1.9752520634204807,9,2
junior national,1.9752520634204807,9,2
ended,1.9752520634204807,9,2
4 rpg,1.9752520634204807,9,2
learned,1.9752520634204807,9,2
impossible,1.9752520634204807,9,2
lb,1.9752520634204807,9,2
international,1.9752520634204807,9,2
highly efficient,1.9752520634204807,9,2
0 2,1.9227393950255802,13,3
feet well,1.9227393950255802,13,3
operating,1.9227393950255802,13,3
2014 usa,1.9227393950255802,13,3
pps,1.909055942023258,30,7
7 6,1.8956961919445128,17,4
terms,1.8681220937041623,25,6
season team,1.8611772802938642,58,14
blk pf,1.8611772802938642,58,14
stl blk,1.8611772802938642,58,14
pts reb,1.8601512502517146,29,7
reb ast,1.8601512502517146,29,7
3pa pts,1.8601512502517146,29,7
def,1.8601512502517146,29,7
fga ftm,1.8601512502517146,29,7
def tot,1.8601512502517146,29,7
tot,1.8601512502517146,29,7
tot ast,1.8601512502517146,29,7
fg fga,1.8601512502517146,29,7
gp min,1.8601512502517146,29,7
ft 3p,1.8601512502517146,29,7
3p pps,1.8601512502517146,29,7
pf fg,1.8601512502517146,29,7
min pts,1.8601512502517146,29,7
3pm,1.8601512502517146,29,7
team gp,1.8601512502517146,29,7
team min,1.8601512502517146,29,7
fg ft,1.8601512502517146,29,7
3pm 3pa,1.8601512502517146,29,7
min fg,1.8601512502517146,29,7
fta 3pm,1.8601512502517146,29,7
fga,1.8541496680954506,33,8
2009 10,1.8103412988142722,48,12
2006,1.8095312698513428,28,7
stretches,1.8073429172462792,12,3
top 10,1.8073429172462792,12,3
05,1.8073429172462792,12,3
112,1.8055155336258881,8,2
clip 05,1.8055155336258881,8,2
steam,1.8055155336258881,8,2
sign,1.8055155336258881,8,2
entry passes,1.8055155336258881,8,2
20 years,1.8055155336258881,8,2
defensive presence,1.8055155336258881,8,2
damage,1.8055155336258881,8,2
top notch,1.8055155336258881,8,2
09 season,1.8055155336258881,8,2
length 7,1.8055155336258881,8,2
tenacity,1.8055155336258881,8,2
analytics,1.8001223715818124,4,1
pronounced,1.8001223715818124,4,1
amare stoudemire,1.8001223715818124,4,1
term prospect,1.8001223715818124,4,1
titles,1.8001223715818124,4,1
excellent timing,1.8001223715818124,4,1
tool,1.8001223715818124,4,1
hs class,1.8001223715818124,4,1
knocks,1.8001223715818124,4,1
improved considerably,1.8001223715818124,4,1
going forward,1.8001223715818124,4,1
draft range,1.8001223715818124,4,1
attractive,1.8001223715818124,4,1
116,1.8001223715818124,4,1
head coach,1.8001223715818124,4,1
10 pick,1.8001223715818124,4,1
comfortable shooting,1.8001223715818124,4,1
thread,1.8001223715818124,4,1
upped,1.8001223715818124,4,1
angle,1.8001223715818124,4,1
146,1.8001223715818124,4,1
outlet passes,1.8001223715818124,4,1
minnesota,1.8001223715818124,4,1
superior,1.8001223715818124,4,1
well gets,1.8001223715818124,4,1
career 2,1.8001223715818124,4,1
7 spg,1.8001223715818124,4,1
sneak,1.8001223715818124,4,1
contact draws,1.8001223715818124,4,1
collapse,1.8001223715818124,4,1
aran 8,1.8001223715818124,4,1
high vertical,1.8001223715818124,4,1
better rebounder,1.8001223715818124,4,1
second nature,1.8001223715818124,4,1
consistent scorer,1.8001223715818124,4,1
legit 7,1.8001223715818124,4,1
volleyball,1.8001223715818124,4,1
5 17,1.8001223715818124,4,1
likely need,1.8001223715818124,4,1
10 recruit,1.8001223715818124,4,1
split,1.8001223715818124,4,1
nearly three,1.8001223715818124,4,1
32 8,1.8001223715818124,4,1
angeles,1.8001223715818124,4,1
realize,1.8001223715818124,4,1
2 2008,1.8001223715818124,4,1
settings,1.8001223715818124,4,1
advanced footwork,1.8001223715818124,4,1
court needs,1.8001223715818124,4,1
3 16,1.8001223715818124,4,1
hard work,1.8001223715818124,4,1
05 24,1.8001223715818124,4,1
1 spg,1.8001223715818124,4,1
24 notes,1.8001223715818124,4,1
standard,1.8001223715818124,4,1
220 lbs,1.8001223715818124,4,1
natural shot,1.8001223715818124,4,1
website,1.8001223715818124,4,1
believes,1.8001223715818124,4,1
played four,1.8001223715818124,4,1
apparently,1.8001223715818124,4,1
game situations,1.8001223715818124,4,1
aran 2,1.8001223715818124,4,1
matters,1.8001223715818124,4,1
maintained,1.8001223715818124,4,1
carlos,1.8001223715818124,4,1
strong handler,1.8001223715818124,4,1
regarded,1.8001223715818124,4,1
needle,1.8001223715818124,4,1
weaknesses although,1.8001223715818124,4,1
fell,1.8001223715818124,4,1
previously,1.8001223715818124,4,1
substantial,1.8001223715818124,4,1
struggling,1.8001223715818124,4,1
command,1.8001223715818124,4,1
immensely,1.8001223715818124,4,1
excellent handle,1.8001223715818124,4,1
drop step,1.8001223715818124,4,1
fg 2,1.8001223715818124,4,1
reasonable,1.8001223715818124,4,1
heady,1.8001223715818124,4,1
dealing,1.8001223715818124,4,1
combines,1.8001223715818124,4,1
points 3,1.8001223715818124,4,1
limited offensive,1.8001223715818124,4,1
much time,1.8001223715818124,4,1
3 15,1.8001223715818124,4,1
reward,1.8001223715818124,4,1
2 50,1.8001223715818124,4,1
outside game,1.8001223715818124,4,1
must learn,1.8001223715818124,4,1
109,1.8001223715818124,4,1
4 24,1.8001223715818124,4,1
p,1.8001223715818124,4,1
deny,1.8001223715818124,4,1
repeatable,1.8001223715818124,4,1
team defender,1.8001223715818124,4,1
10 2,1.8001223715818124,4,1
stoudemire skills,1.8001223715818124,4,1
391,1.8001223715818124,4,1
226,1.8001223715818124,4,1
tied,1.8001223715818124,4,1
fierce,1.8001223715818124,4,1
big question,1.8001223715818124,4,1
clip 10,1.8001223715818124,4,1
7 attempts,1.8001223715818124,4,1
los angeles,1.8001223715818124,4,1
8 minutes,1.8001223715818124,4,1
head fakes,1.8001223715818124,4,1
189 lbs,1.8001223715818124,4,1
great basketball,1.8001223715818124,4,1
sloppy,1.8001223715818124,4,1
3pt 5,1.8001223715818124,4,1
18 9,1.8001223715818124,4,1
overly explosive,1.8001223715818124,4,1
mich,1.8001223715818124,4,1
inflated,1.8001223715818124,4,1
types,1.8001223715818124,4,1
los,1.8001223715818124,4,1
strength well,1.8001223715818124,4,1
may need,1.8001223715818124,4,1
game excellent,1.8001223715818124,4,1
functional,1.8001223715818124,4,1
influence,1.8001223715818124,4,1
nevada,1.8001223715818124,4,1
1 46,1.8001223715818124,4,1
dropping,1.8001223715818124,4,1
pop game,1.8001223715818124,4,1
242,1.8001223715818124,4,1
season due,1.8001223715818124,4,1
average first,1.8001223715818124,4,1
spins,1.8001223715818124,4,1
0 vertical,1.8001223715818124,4,1
season aran,1.8001223715818124,4,1
first year,1.8001223715818124,4,1
4 3pt,1.8001223715818124,4,1
ability good,1.8001223715818124,4,1
efficient offensive,1.8001223715818124,4,1
shows decent,1.8001223715818124,4,1
long legs,1.8001223715818124,4,1
low scorer,1.8001223715818124,4,1
powerful dunks,1.8001223715818124,4,1
25 season,1.8001223715818124,4,1
lines,1.8001223715818124,4,1
usa basketball,1.8001223715818124,4,1
good position,1.8001223715818124,4,1
03,1.8001223715818124,4,1
stl,1.764880279862977,62,16
blk,1.764880279862977,62,16
totals,1.7639567182711584,31,8
another,1.7478546840428297,23,6
conditioning,1.7348732502954274,19,5
pergame,1.7348732502954274,19,5
0 3,1.7152136937070939,15,4
107,1.6819095684322214,11,3
follow,1.6819095684322214,11,3
baby,1.6819095684322214,11,3
gold,1.6819095684322214,11,3
ftm fta,1.6677501510196553,29,8
48,1.6677501510196553,29,8
ftm,1.6677501510196553,29,8
07,1.6460593396933803,25,7
min,1.630135842463572,60,17
2 1,1.6181203941295532,63,18
82,1.616646527164784,21,6
5 6,1.6157350055613886,14,4
across,1.6157350055613886,14,4
85,1.6157350055613886,14,4
directly,1.613116068932376,7,2
excellent hands,1.613116068932376,7,2
long athletic,1.613116068932376,7,2
