category,phrase,raw_score,delta_vs_baseline
Projection,fringe NBA player,0.06417434794774994,0.04521181451576185
Projection,lottery pick,0.06388531567610374,0.04492278224411565
Athleticism,high level athlete,0.0627253287730365,0.04376279534104842
Motor / Character,blue collar,0.06039071654178626,0.04142818310979817
Skills,elite passer,0.05773630322942755,0.03877376979743946
Projection,All-Star potential,0.057258734425544355,0.03829620099355627
Projection,G-League prospect,0.056999500809904846,0.03803696737791676
Athleticism,explosive athlete,0.055956117233253576,0.03699358380126549
Motor / Character,relentless competitor,0.05587195198817239,0.0369094185561843
Motor / Character,high basketball IQ,0.05376455830852994,0.034802024876541854
Skills,elite finisher at the rim,0.04986799521435855,0.030905461782370462
Size / Frame,NBA-ready frame,0.04816075437258388,0.029198220940595793
Athleticism,average athlete,0.042962477114077025,0.023999943682088937
Shooting,poor free throw shooter,0.042247984424474354,0.023285450992486266
Size / Frame,great length,0.0420793740336414,0.02311684060165331
Projection,two-way player,0.041964000497049604,0.023001467065061516
Shooting,inconsistent jumper,0.040125617958734,0.02116308452674591
Defense,lockdown defender,0.03946028013304992,0.02049774670106183
Skills,advanced ball handler,0.03711322941996346,0.01815069598797537
Projection,rotation player,0.036982468945602816,0.018019935513614728
Motor / Character,questionable work ethic,0.03576837002375429,0.016805836591766203
Defense,rim protector,0.03477699604455777,0.015814462612569684
Motor / Character,high motor,0.03446800723505463,0.015505473803066543
Motor / Character,low basketball IQ,0.034358923231178305,0.015396389799190217
Skills,poor handle,0.03265252082489651,0.013689987392908422
Projection,future starter,0.03239179651654534,0.013429263084557254
Defense,weak defender,0.03129339789315744,0.01233086446116935
Athleticism,below average athleticism,0.030523063119995086,0.011560529688006999
Defense,poor defensive instincts,0.030368626341852167,0.01140609290986408
Shooting,elite shooter,0.029794928755628378,0.01083239532364029
Shooting,knockdown shooter from deep,0.028337097142607626,0.009374563710619538
Skills,turnover prone,0.023446252141910952,0.004483718709922865
Motor / Character,low motor,0.022170485149694222,0.0032079517177061347
Athleticism,limited burst,0.02095131381976567,0.0019887803877775834
Size / Frame,needs to add strength,0.01950007823702726,0.0005375448050391717
Defense,switchable defender,0.011847512846072147,-0.0071150205859159404
Size / Frame,undersized,0.010578170904090129,-0.008384362527897959
Shooting,limited shooting range,0.010264015964110468,-0.00869851746787762
Size / Frame,slight build,0.004528022920516808,-0.01443451051147128
