category,phrase,raw_score,delta_vs_baseline
Projection,G-League prospect,0.5339510043462118,-0.010741392771402958
Projection,fringe NBA player,0.5329002141952515,-0.011792182922363281
Athleticism,below average athleticism,0.5325594941775004,-0.012132902940114376
Athleticism,high level athlete,0.5230425397555033,-0.021649857362111447
Motor / Character,high basketball IQ,0.5227298140525818,-0.02196258306503296
Motor / Character,low basketball IQ,0.5225677291552225,-0.022124667962392208
Projection,All-Star potential,0.5211338003476461,-0.02355859676996863
Athleticism,explosive athlete,0.5206087430318197,-0.024083654085795048
Size / Frame,NBA-ready frame,0.5196933746337891,-0.024999022483825684
Size / Frame,great length,0.5194709499677023,-0.02522144714991248
Athleticism,average athlete,0.5185013016064962,-0.026191095511118534
Size / Frame,slight build,0.5179007848103842,-0.026791612307230595
Motor / Character,blue collar,0.5178976456324259,-0.02679475148518884
Size / Frame,needs to add strength,0.5165801445643107,-0.028112252553304073
Projection,rotation player,0.5156420866648356,-0.02905031045277917
Defense,rim protector,0.5152712265650431,-0.02942117055257165
Defense,lockdown defender,0.5145424405733744,-0.030149956544240353
Skills,elite passer,0.5130048990249634,-0.03168749809265137
Shooting,inconsistent jumper,0.5109811027844747,-0.03371129433314002
Motor / Character,low motor,0.5107617378234863,-0.03393065929412842
Shooting,poor free throw shooter,0.5106911659240723,-0.03400123119354248
Motor / Character,high motor,0.5103164712587992,-0.03437592585881555
Defense,poor defensive instincts,0.509583055973053,-0.03510934114456177
Skills,poor handle,0.5094586809476217,-0.035233716169993046
Shooting,knockdown shooter from deep,0.509328822294871,-0.03536357482274377
Projection,lottery pick,0.5085989832878113,-0.03609341382980347
Size / Frame,undersized,0.5085814793904623,-0.03611091772715247
Projection,future starter,0.5080016056696574,-0.036690791447957394
Projection,two-way player,0.5071866710980734,-0.037505726019541386
Skills,elite finisher at the rim,0.5066629846890768,-0.03802941242853797
Skills,turnover prone,0.50659708182017,-0.0380953152974447
Defense,weak defender,0.5055814584096273,-0.03911093870798743
Shooting,limited shooting range,0.5055803457895914,-0.03911205132802331
Motor / Character,relentless competitor,0.505263090133667,-0.039429306983947754
Defense,switchable defender,0.5051352679729462,-0.03955712914466858
Shooting,elite shooter,0.5049604177474976,-0.03973197937011719
Motor / Character,questionable work ethic,0.5047522584597269,-0.039940138657887814
Athleticism,limited burst,0.50067338347435,-0.04401901364326477
Skills,advanced ball handler,0.49717779954274494,-0.04751459757486981
