category,phrase,raw_score,delta_vs_baseline
Athleticism,below average athleticism,0.5586309631665548,-0.013162056605021122
Size / Frame,great length,0.5557558735211691,-0.016037146250406864
Projection,G-League prospect,0.5526814659436544,-0.019111553827921512
Athleticism,high level athlete,0.5520925323168436,-0.019700487454732296
Size / Frame,slight build,0.5491393804550171,-0.022653639316558838
Shooting,inconsistent jumper,0.549036463101705,-0.022756556669870975
Skills,elite passer,0.548703670501709,-0.023089349269866943
Motor / Character,blue collar,0.5481289823849996,-0.023664037386576298
Motor / Character,high motor,0.5477138559023539,-0.024079163869222042
Athleticism,explosive athlete,0.54726109902064,-0.02453192075093591
Size / Frame,needs to add strength,0.5470613837242126,-0.02473163604736328
Athleticism,average athlete,0.5461510419845581,-0.025641977787017822
Projection,fringe NBA player,0.5456807613372803,-0.026112258434295654
Motor / Character,low motor,0.5456432104110718,-0.02614980936050415
Projection,All-Star potential,0.5450271368026733,-0.026765882968902588
Motor / Character,low basketball IQ,0.5447549621264139,-0.027038057645161984
Defense,lockdown defender,0.5440721313158671,-0.02772088845570886
Defense,poor defensive instincts,0.5435024698575338,-0.028290549914042118
Motor / Character,high basketball IQ,0.5431507031122843,-0.028642316659291622
Skills,turnover prone,0.5426370898882548,-0.029155929883321163
Motor / Character,questionable work ethic,0.5419675707817078,-0.029825448989868164
Defense,weak defender,0.5410418709119161,-0.030751148859659794
Size / Frame,NBA-ready frame,0.5402881304423014,-0.03150488932927453
Size / Frame,undersized,0.5402574340502421,-0.03153558572133386
Motor / Character,relentless competitor,0.5397498806317648,-0.03204313913981116
Skills,poor handle,0.5397071242332458,-0.03208589553833008
Projection,rotation player,0.5376314123471578,-0.034161607424418095
Defense,rim protector,0.5376175045967102,-0.03417551517486572
Shooting,poor free throw shooter,0.5363824764887491,-0.03541054328282678
Skills,elite finisher at the rim,0.5354347427686056,-0.03635827700297034
Projection,two-way player,0.5346065759658813,-0.03718644380569458
Shooting,limited shooting range,0.5327040155728658,-0.03908900419871009
Defense,switchable defender,0.5313882629076639,-0.040404756863911984
Shooting,elite shooter,0.5292311509450277,-0.04256186882654822
Projection,future starter,0.5285120010375977,-0.04328101873397827
Athleticism,limited burst,0.5263867974281311,-0.045406222343444824
Skills,advanced ball handler,0.5244393746058146,-0.04735364516576135
Shooting,knockdown shooter from deep,0.5239438613255819,-0.04784915844599402
Projection,lottery pick,0.5216194192568461,-0.050173600514729855
