category,phrase,raw_score,delta_vs_baseline
Projection,fringe NBA player,0.7263557116190592,0.05072693030039466
Projection,G-League prospect,0.7185820738474528,0.04295329252878821
Size / Frame,NBA-ready frame,0.7159846425056458,0.0403558611869812
Skills,elite passer,0.7127716143925985,0.037142833073933956
Shooting,poor free throw shooter,0.712011456489563,0.03638267517089844
Athleticism,explosive athlete,0.7054222226142883,0.02979344129562378
Motor / Character,high basketball IQ,0.7041355967521667,0.028506815433502197
Athleticism,average athlete,0.7036206722259521,0.027991890907287598
Projection,All-Star potential,0.7027126550674438,0.027083873748779297
Athleticism,below average athleticism,0.7009093761444092,0.02528059482574463
Skills,advanced ball handler,0.6989699204762777,0.023341139157613155
Projection,future starter,0.6984144051869711,0.022785623868306515
Motor / Character,low basketball IQ,0.6963276465733846,0.02069886525472009
Shooting,knockdown shooter from deep,0.6960558891296387,0.02042710781097412
Shooting,inconsistent jumper,0.6954475045204163,0.01981872320175171
Skills,elite finisher at the rim,0.6937960584958395,0.018167277177174923
Athleticism,high level athlete,0.6934603254000345,0.01783154408137
Defense,poor defensive instincts,0.6932070851325989,0.017578303813934326
Defense,lockdown defender,0.6923949122428894,0.016766130924224854
Shooting,elite shooter,0.6918560067812601,0.016227225462595585
Size / Frame,needs to add strength,0.6908220251401266,0.015193243821462032
Defense,switchable defender,0.6847421129544576,0.009113331635793087
Shooting,limited shooting range,0.6840811173121134,0.008452335993448856
Projection,rotation player,0.6831554373105367,0.007526655991872189
Skills,turnover prone,0.6804370880126953,0.004808306694030762
Defense,weak defender,0.6804237763086954,0.0047949949900308875
Defense,rim protector,0.6800531546274821,0.0044243733088175086
Size / Frame,slight build,0.6772146026293436,0.0015858213106790808
Projection,two-way player,0.6743667523066202,-0.0012620290120443078
Motor / Character,relentless competitor,0.6738262176513672,-0.0018025636672973633
Size / Frame,great length,0.6712824900945028,-0.004346291224161747
Motor / Character,high motor,0.671035369237264,-0.004593412081400516
Motor / Character,questionable work ethic,0.6694936951001486,-0.006135086218515995
Skills,poor handle,0.6693083643913269,-0.0063204169273376465
Size / Frame,undersized,0.6676219900449117,-0.008006791273752811
Athleticism,limited burst,0.6671609878540039,-0.008467793464660645
Projection,lottery pick,0.6664788921674093,-0.009149889151255253
Motor / Character,low motor,0.6643259326616923,-0.011302848656972286
Motor / Character,blue collar,0.6634823083877563,-0.012146472930908203
