section,head,pearson_r,spearman_r,n
strengths,vorp,0.07262667689465396,0.06719005555993844,911
strengths,star,0.07409504104152556,0.08829333830694709,911
strengths,survived,0.06993816512813339,0.07520006959948636,911
strengths,starter,0.07803925034777089,0.11519480649083427,911
weaknesses,vorp,0.022136877313257204,0.049384311102721866,919
weaknesses,star,0.038695137411989954,0.08507274475054714,919
weaknesses,survived,0.0026478737111202545,0.06487381231795132,919
weaknesses,starter,0.03736760812466111,0.07978493435165723,919
outlook,vorp,0.03765177249207422,0.006880326446997824,301
outlook,star,0.03942089358973511,-0.025265342018849356,301
outlook,survived,0.0012912544100567368,-0.01245301681869958,301
outlook,starter,0.03033237376785652,-0.07730564932974447,301
