Name,draft_year,draft_pick,actual_tier,pred_tier,actual_tier_label,pred_tier_label,confidence,p_bust,p_bench,p_starter,p_star,ordinal_error,within_one,distance_weighted_credit,expected_class,expected_class_error
Austin Reaves,2021,77,3,0,star,bust,0.5675,0.5675,0.2891,0.1354,0.008,3,False,0.0,0.5839,2.4161
Jalen Williams,2022,21,3,1,star,bench,0.4506,0.4012,0.4506,0.1381,0.0101,2,False,0.3333,0.757,2.243
Kobe Bufkin,2023,11,0,2,bust,starter,0.6308,0.0478,0.1594,0.6308,0.162,2,False,0.3333,1.9069,1.9069
Jalen Johnson,2021,17,3,1,star,bench,0.3982,0.2865,0.3982,0.2506,0.0647,2,False,0.3333,1.0934,1.9066
James Bouknight,2021,7,0,2,bust,starter,0.5745,0.0584,0.1803,0.5745,0.1867,2,False,0.3333,1.8895,1.8895
Ousmane Dieng,2022,14,0,2,bust,starter,0.3977,0.1484,0.2981,0.3977,0.1558,2,False,0.3333,1.561,1.561
Marcus Bagley,2023,89,2,0,starter,bust,0.6421,0.6421,0.2711,0.0832,0.0036,2,False,0.3333,0.4483,1.5517
Wendell Moore,2022,20,0,2,bust,starter,0.3831,0.1674,0.2821,0.3831,0.1673,2,False,0.3333,1.5504,1.5504
Leaky Black,2023,81,2,0,starter,bust,0.5736,0.5736,0.3261,0.0922,0.0081,2,False,0.3333,0.5349,1.4651
TyTy Washington,2022,22,0,2,bust,starter,0.3506,0.1916,0.3061,0.3506,0.1517,2,False,0.3333,1.4622,1.4622
Jaden Springer,2021,29,0,2,bust,starter,0.3407,0.2003,0.3204,0.3407,0.1386,2,False,0.3333,1.4177,1.4177
Dalen Terry,2022,31,0,2,bust,starter,0.4042,0.1799,0.323,0.4042,0.0928,2,False,0.3333,1.41,1.41
Jason Preston,2021,36,0,2,bust,starter,0.3708,0.2356,0.2898,0.3708,0.1037,2,False,0.3333,1.3427,1.3427
Mac McClung,2021,64,2,0,starter,bust,0.4881,0.4881,0.3745,0.1245,0.0129,2,False,0.3333,0.6622,1.3378
Amari Bailey,2023,42,0,2,bust,starter,0.362,0.2174,0.3364,0.362,0.0843,2,False,0.3333,1.3132,1.3132
Joel Ayayi,2021,30,0,2,bust,starter,0.3483,0.2228,0.3413,0.3483,0.0877,2,False,0.3333,1.3008,1.3008
Dariq Whitehead,2023,38,2,0,starter,bust,0.4985,0.4985,0.3189,0.1663,0.0162,2,False,0.3333,0.7003,1.2997
Drew Timme,2023,65,2,0,starter,bust,0.4656,0.4656,0.3715,0.1514,0.0116,2,False,0.3333,0.7089,1.2911
Toumani Camara,2023,57,2,0,starter,bust,0.4693,0.4693,0.3621,0.1573,0.0113,2,False,0.3333,0.7106,1.2894
Jabari Walker,2022,52,2,0,starter,bust,0.4705,0.4705,0.3428,0.1688,0.0179,2,False,0.3333,0.7342,1.2658
Scotty Pippen Jr.,2022,62,2,0,starter,bust,0.4212,0.4212,0.3901,0.1731,0.0156,2,False,0.3333,0.7832,1.2168
GG Jackson,2023,31,2,0,starter,bust,0.3899,0.3899,0.3857,0.18,0.0444,2,False,0.3333,0.8789,1.1211
Quentin Grimes,2021,37,2,0,starter,bust,0.3825,0.3825,0.3743,0.1903,0.053,2,False,0.3333,0.9138,1.0862
Brandin Podziemski,2023,23,2,0,starter,bust,0.4028,0.4028,0.2616,0.2122,0.1234,2,False,0.3333,1.0562,0.9438
Mark Williams,2022,13,3,2,star,starter,0.3636,0.2047,0.3482,0.3636,0.0835,1,True,0.6667,1.3259,1.6741
Dyson Daniels,2022,11,3,2,star,starter,0.4322,0.125,0.2809,0.4322,0.1618,1,True,0.6667,1.6309,1.3691
